gene_set_id	phenotype	definition	gene_symbol	ensembl_gene_id	evidence	effect_direction	effect_beta	p_value	source_id	notes
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	UMPS	ENSG00000114491	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	UNC13A	ENSG00000130477	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	UNC79	ENSG00000133958	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	UNC80	ENSG00000144406	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	UPB1	ENSG00000100024	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	UPF1	ENSG00000005007	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	UPF3B	ENSG00000125351	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	UQCRB	ENSG00000156467	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	UQCRQ	ENSG00000164405	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	UROC1	ENSG00000159650	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	UROS	ENSG00000188690	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	USB1	ENSG00000103005	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	USP18	ENSG00000184979	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	USP27X	ENSG00000273820	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	USP34	ENSG00000115464	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	USP7	ENSG00000187555	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	USP9X	ENSG00000124486	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	UTP14A	ENSG00000156697	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	UVSSA	ENSG00000163945	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VAMP1	ENSG00000139190	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VAMP2	ENSG00000220205	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VAMP7	ENSG00000124333	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VARS	ENSG00000204394	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VARS2	ENSG00000137411	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VCP	ENSG00000165280	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VDR	ENSG00000111424	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VIP	ENSG00000146469	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VIPAS39	ENSG00000151445	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VLDLR	ENSG00000147852	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VPS11	ENSG00000160695	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VPS13B	ENSG00000132549	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VPS33A	ENSG00000139719	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VPS33B	ENSG00000184056	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VPS35	ENSG00000069329	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VPS36	ENSG00000136100	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VPS41	ENSG00000006715	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VPS4A	ENSG00000132612	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VPS50	ENSG00000004766	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VPS51	ENSG00000149823	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VPS53	ENSG00000141252	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VRK1	ENSG00000100749	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VSX2	ENSG00000119614	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	VWA8	ENSG00000102763	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WAC	ENSG00000095787	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WAPL	ENSG00000062650	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WARS	ENSG00000140105	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WARS2	ENSG00000116874	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WASF1	ENSG00000112290	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WASHC4	ENSG00000136051	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WASHC5	ENSG00000164961	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WBP4	ENSG00000120688	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDFY3	ENSG00000163625	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDPCP	ENSG00000143951	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR11	ENSG00000120008	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR13	ENSG00000101940	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR19	ENSG00000157796	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR26	ENSG00000162923	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR34	ENSG00000119333	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR35	ENSG00000118965	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR37	ENSG00000047056	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR4	ENSG00000160193	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR45	ENSG00000196998	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR45B	ENSG00000141580	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR47	ENSG00000085433	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR5	ENSG00000196363	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR60	ENSG00000126870	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR62	ENSG00000075702	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR73	ENSG00000177082	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR81	ENSG00000167716	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR83	ENSG00000123154	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR83OS	ENSG00000105583	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WDR91	ENSG00000105875	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WFS1	ENSG00000109501	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WIPI2	ENSG00000157954	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WNK3	ENSG00000196632	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WNT1	ENSG00000125084	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WNT10B	ENSG00000169884	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WNT3	ENSG00000108379	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WNT4	ENSG00000162552	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WNT5A	ENSG00000114251	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WNT7A	ENSG00000154764	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WRAP53	ENSG00000141499	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WRN	ENSG00000165392	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WSB2	ENSG00000176871	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WT1	ENSG00000184937	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WWC3	ENSG00000047644	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	WWOX	ENSG00000186153	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	XIAP	ENSG00000101966	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	XIST	ENSG00000229807	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	XK	ENSG00000047597	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	XKRX	ENSG00000182489	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	XPA	ENSG00000136936	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	XPC	ENSG00000154767	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	XPNPEP3	ENSG00000196236	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	XRCC4	ENSG00000152422	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	XYLT1	ENSG00000103489	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	YAP1	ENSG00000137693	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	YARS	ENSG00000134684	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	YBX3	ENSG00000060138	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	YIF1B	ENSG00000167645	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	YIPF5	ENSG00000145817	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	YWHAE	ENSG00000108953	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	YWHAG	ENSG00000170027	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	YWHAZ	ENSG00000164924	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	YY1	ENSG00000100811	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZBTB11	ENSG00000066422	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZBTB16	ENSG00000109906	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZBTB18	ENSG00000179456	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZBTB20	ENSG00000181722	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZBTB24	ENSG00000112365	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZBTB40	ENSG00000184677	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZBTB47	ENSG00000114853	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZBTB7A	ENSG00000178951	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZBTB7B	ENSG00000160685	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZC3H14	ENSG00000100722	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZC4H2	ENSG00000126970	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZCCHC12	ENSG00000174460	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZCCHC8	ENSG00000033030	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZDHHC15	ENSG00000102383	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZDHHC9	ENSG00000188706	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZEB2	ENSG00000169554	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZFHX3	ENSG00000140836	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZFHX4	ENSG00000091656	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZFP57	ENSG00000204644	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZFX	ENSG00000005889	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZFYVE26	ENSG00000072121	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZIC1	ENSG00000152977	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZIC2	ENSG00000043355	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZIC3	ENSG00000156925	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZMIZ1	ENSG00000108175	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZMPSTE24	ENSG00000084073	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZMYM2	ENSG00000121741	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZMYM3	ENSG00000147130	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZMYM6	ENSG00000163867	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZMYND11	ENSG00000015171	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZMYND12	ENSG00000066185	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZMYND15	ENSG00000141497	0	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZMYND8	ENSG00000101040	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF142	ENSG00000115568	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF148	ENSG00000163848	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF292	ENSG00000188994	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF335	ENSG00000198026	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF407	ENSG00000215421	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF41	ENSG00000147124	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF425	ENSG00000204947	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF462	ENSG00000148143	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF526	ENSG00000167625	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF592	ENSG00000166716	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF599	ENSG00000153896	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF668	ENSG00000167394	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF674	ENSG00000251192	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF699	ENSG00000196110	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF711	ENSG00000147180	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF713	ENSG00000178665	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF81	ENSG00000197779	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNF865	ENSG00000261221	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNFX1	ENSG00000124201	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZNRF3	ENSG00000183579	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZSCAN10	ENSG00000130182	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	ZSWIM6	ENSG00000130449	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_green	Intellectual disability	PanelApp green/high-evidence genes	AAAS	ENSG00000094914	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_green	Intellectual disability	PanelApp green/high-evidence genes	AARS	ENSG00000090861	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_green	Intellectual disability	PanelApp green/high-evidence genes	AASS	ENSG00000008311	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_green	Intellectual disability	PanelApp green/high-evidence genes	ABAT	ENSG00000183044	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_green	Intellectual disability	PanelApp green/high-evidence genes	ABCA2	ENSG00000107331	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_green	Intellectual disability	PanelApp green/high-evidence genes	ABCC9	ENSG00000069431	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_green	Intellectual disability	PanelApp green/high-evidence genes	ABCD1	ENSG00000101986	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_green	Intellectual disability	PanelApp green/high-evidence genes	ABCD4	ENSG00000119688	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_green	Intellectual disability	PanelApp green/high-evidence genes	ABHD16A	ENSG00000204427	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_green	Intellectual disability	PanelApp green/high-evidence genes	ABHD5	ENSG00000011198	3	.	.	.	panelapp_intellectual_disability_v11.26	.
